Airportname;ICAO Code;IATA Code;NUTS3
UNKNOWN - ITALY airport;LI99;n/a;n/a
UNKNOWN - FINLAND airport;EF99;n/a;n/a
UNKNOWN - GERMANY airport;ED99;n/a;n/a
NY ALESUND (SVALBARD) (PRIVATE) airport;ENAS;n/a;n/a
BARENTSBURG (PRIVATE) airport;ENBA;n/a;n/a
SVALBARD/LONGYEAR airport;ENSB;LYR;n/a
ISFJORD (PRIVATE) airport;ENIS;n/a;n/a
JAN MAYEN (PRIVATE) airport;ENJA;ZXB;n/a
OS/VAKSINEN (PRIVATE) airport;ENUL;n/a;n/a
UNKNOWN - GERMANY airport;ED00;n/a;n/a
STRASBOURG - AIRPORT SYSTEM airport;LF96;n/a;n/a
FRIGG QP (OIL RIG) airport;ENFR;n/a;n/a
RAKKESTAD-RYGGE airport;ENUR;n/a;n/a
FYRESDAL (PRIVATE) airport;ENFY;n/a;n/a
GRONORA airport;ENWS;n/a;n/a
SOGN OG FJORDANE airport;ENYF;n/a;n/a
HAMMERFEST, FUGLENES airport;ENPF;n/a;n/a
MANDAL airport;ENYM;n/a;n/a
UNKNOWN - SLOVAKIA airport;LZ99;n/a;n/a
EKOFISK A (OIL RIG) airport;ENXA;n/a;n/a
HATTFJELLDAL airport;ENPH;n/a;n/a
RAKKESTAD (PRIVATE) airport;ENRK;n/a;n/a
HOPEN (PRIVATE) airport;ENHO;n/a;n/a
TANA BRU (TANA BRIDGE) airport;ENPB;n/a;n/a
LIEKSA-NURMES airport;EFLN;n/a;n/a
NORDRE HEDEMARK-TYNSET airport;ENWY;n/a;n/a
SANTA MARIA airport;LPPO;n/a;n/a
OST ADER-GULLKNALL airport;ENUU;n/a;n/a
OSEBERG A (OIL RIG) airport;ENOA;n/a;n/a
IMMOLA airport;EFIM;n/a;n/a
HATTFJELLDAL/VOLLEN (PRIVATE) airport;ENHT;n/a;n/a
STATFJORD B (OIL RIG) airport;ENFB;n/a;n/a
LUNDE/NOME (PRIVATE) airport;ENLU;n/a;n/a
REGIONSYKEHUSET TC airport;ENPT;n/a;n/a
TYNSET (PRIVATE) airport;ENTY;n/a;n/a
EKOFISK H (OIL RIG) airport;ENEK;n/a;n/a
AASEGARDEN airport;ENPA;n/a;n/a
VALHALL A (OIL RIG) airport;ENVH;n/a;n/a
FEDJE HELIPORT (PRIVATE) airport;ENFJ;n/a;n/a
RINGEBU/FRYA (PRIVATE) airport;ENRI;n/a;n/a
FROYA/FLATVAL (PRIVATE) airport;ENFA;n/a;n/a
PYHASALMI airport;EFPY;n/a;n/a
REINSVOLL (PRIVATE) airport;ENRV;n/a;n/a
BERGEN/GRONNEVIKSOREN (HELIPORT, PRIVATE) airport;ENBG;n/a;n/a
TRYSIL/SAETERASEN (PRIVATE) airport;ENTS;n/a;n/a
SLEIPNER A (OIL RIG) airport;ENSL;n/a;n/a
ISLE OF MAN;EGNS;IOM;n/a
GUERNSEY;EGJB;GCI;n/a
FAIR ISLE;EGEF;FIE;n/a
LONGYEARBYEN;ENSB;LYR;n/a
JAN MAYEN OFF-LINE POINT;ENJA;n/a;n/a
STOLLN/RHINOW airport;EDOR;n/a;DE426
RUGEN airport;EDCG;n/a;DE80H
HERNESAARI  airport;EFHE;n/a;FI181
HANKO airport;EFHN;n/a;FI181
WARTON airport;EGNO;n/a;UKD43
NY ALESUND (SVALBARD) (PRIVATE) airport;ENAS;n/a;n/a
BARENTSBURG (PRIVATE) airport;ENBA;n/a;n/a
BOMOEN  airport;ENBM;n/a;NO051
ISFJORD (PRIVATE) airport;ENIS;n/a;n/a
JARLSBERG (PRIVATE) airport;ENJB;n/a;NO033
KJELLER (MIL/PRIVATE CIV) airport;ENKJ;n/a;NO012
KONGSVINGER airport;ENUI;n/a;NO021
OS/VAKSINEN (PRIVATE) airport;ENUL;n/a;n/a
MORE OG ROMSDAL-AUKRA airport;ENWG;n/a;NO053
TRONDHEIM-VERDAL airport;ENWV;n/a;NO062
ROGALAND-ORRE airport;ENYR;n/a;NO043
HORDALAND airport;ENYV;n/a;NO051
RARON (HEL) airport;LSER;n/a;CH012
ZERMATT (HEL) airport;LSEZ;n/a;CH012
BEX airport;LSGB;n/a;CH011
ECUVILLENS airport;LSGE;n/a;CH022
REICHENBACH airport;LSGR;n/a;CH021
GRUYERES airport;LSGT;n/a;CH022
YVERDON-LES-BAINS airport;LSGY;n/a;CH011
GSTAAD-INN GRUND (HEL) airport;LSHA;n/a;CH021
COLLOMBEY-MURAZ (HEL) airport;LSHC;n/a;CH012
GAMPEL (HEL) airport;LSHG;n/a;CH012
DUBENDORF (MIL) airport;LSMD;n/a;CH040
MOLLIS (MIL) airport;LSMF;n/a;CH051
LANGENTHAL airport;LSPL;n/a;CH021
AMBRI airport;LSPM;n/a;CH070
TRIENGEN airport;LSPN;n/a;CH061
WANGEN-LACHEN airport;LSPV;n/a;CH063
ZWEISIMMEN airport;LSTZ;n/a;CH021
BAD RAGAZ airport;LSZE;n/a;CH055
BIRRFELD airport;LSZF;n/a;CH033
GRENCHEN airport;LSZG;n/a;CH023
SPECK-FEHRALTORF airport;LSZK;n/a;CH040
BIEL-KAPPELEN airport;LSZP;n/a;CH021
BUTTWIL airport;LSZU;n/a;CH033
SITTERDORF airport;LSZV;n/a;CH057
OUESSANT airport;LFEC;n/a;FR522
HARLE airport;EDXP;n/a;DE94H
OPPDAL /FAGERHAUG (PRIVATE) airport);ENOP;n/a;NO061
EGGEMOEN (PRIVATE) airport;ENEG;n/a;NO032
GULLKNAPP (PRIVATE) airport;ENGK;n/a;NO041
HORNMOEN (PRIVATE) airport;ENHN;n/a;NO021
