Code,Description
"1","Alaska"
"2","Hawaii"
"3","Puerto Rico"
"4","U.S. Virgin Islands"
"5","U.S. Pacific Trust Territories and Possessions"
"11","Connecticut"
"12","Maine"
"13","Massachusetts"
"14","New Hampshire"
"15","Rhode Island"
"16","Vermont"
"21","New Jersey"
"22","New York"
"23","Pennsylvania"
"31","Delaware"
"32","District of Columbia"
"33","Florida"
"34","Georgia"
"35","Maryland"
"36","North Carolina"
"37","South Carolina"
"38","Virginia"
"39","West Virginia"
"41","Illinois"
"42","Indiana"
"43","Michigan"
"44","Ohio"
"45","Wisconsin"
"51","Alabama"
"52","Kentucky"
"53","Mississippi"
"54","Tennessee"
"61","Iowa"
"62","Kansas"
"63","Minnesota"
"64","Missouri"
"65","Nebraska"
"66","North Dakota"
"67","South Dakota"
"71","Arkansas"
"72","Louisiana"
"73","Oklahoma"
"74","Texas"
"81","Arizona"
"82","Colorado"
"83","Idaho"
"84","Montana"
"85","Nevada"
"86","New Mexico"
"87","Utah"
"88","Wyoming"
"91","California"
"92","Oregon"
"93","Washington"
"106","Belize"
"110","Costa Rica"
"118","El Salvador"
"127","Guatemala"
"131","Honduras"
"148","Mexico"
"153","Nicaragua"
"160","Panama Canal Zone"
"162","Panama"
"174","San Andres Island"
"202","Anguilla"
"204","Bahamas"
"205","Barbados"
"206","Antigua and Barbuda"
"207","Bermuda"
"209","Carriacou"
"219","Cuba"
"221","Dominica"
"224","Dominican Republic"
"233","Cayman Islands"
"234","Grand Turk"
"235","Guadeloupe"
"236","Saint Martin"
"237","Saint Barthelemy"
"238","Haiti"
"243","Jamaica"
"252","Martinique"
"256","Montserrat"
"257","Mustique"
"259","Netherlands Antilles"
"260","Bonaire, Sint Eustatius, and Saba"
"261","St. Kitts and Nevis - UK"
"262","Curacao"
"264","Sint Maarten"
"267","Providenciales"
"268","Puerto Rico"
"273","Grenada and South Grenadines"
"274","Antigua and Barbuda - UK"
"275","St. Kitts and Nevis"
"276","St. Lucia"
"277","Aruba"
"279","St. Vincent and North Grenadines"
"280","Trinidad and Tobago"
"281","Turks and Caicos Islands"
"282","British Virgin Islands"
"283","U.S. Virgin Islands"
"303","Argentina"
"312","Bolivia"
"316","Brazil"
"324","Chile"
"327","Colombia"
"337","Ecuador"
"340","Falkland Islands"
"344","French Guiana"
"350","Guyana"
"365","Paraguay"
"368","Peru"
"379","Suriname"
"385","Uruguay"
"388","Venezuela"
"401","Albania"
"402","Andorra"
"403","Austria"
"405","Armenia"
"407","Azerbaijan"
"409","Belgium"
"410","Bosnia and Herzegovina"
"411","Bulgaria"
"413","Belarus"
"415","Croatia"
"417","Czechoslovakia"
"418","Czech Republic"
"419","Denmark"
"422","Estonia"
"425","Finland"
"427","France"
"428","East Germany"
"429","Germany"
"430","Berlin"
"431","Gibraltar"
"432","Georgia"
"433","Greece"
"437","Hungary"
"439","Iceland"
"441","Ireland"
"450","Italy"
"451","Latvia"
"452","Lithuania"
"453","Liechtenstein"
"454","Luxembourg"
"455","Macedonia"
"456","Malta"
"457","Moldova"
"458","Monaco"
"459","Montenegro"
"461","Netherlands"
"465","Norway"
"467","Poland"
"469","Portugal"
"473","Romania"
"475","Russia (European Part)"
"477","Serbia and Montenegro"
"479","San Marino"
"480","Serbia"
"481","Slovenia"
"482","Spain"
"483","Slovakia"
"484","Sweden"
"486","Switzerland"
"488","Ukraine"
"489","U.S.S.R. (European Part)"
"493","United Kingdom"
"494","Kosovo"
"497","Yugoslavia"
"500","Algeria"
"501","South Sudan"
"502","Angola"
"503","Burundi"
"504","Cameroon"
"506","Canary Island"
"507","Cape Verde Islands"
"509","Central African Republic"
"510","Botswana"
"511","Chad"
"513","Comoros"
"515","Republic of the Congo"
"517","Democratic Republic of the Congo"
"519","Benin"
"521","Equatorial Guinea"
"522","Ethiopia"
"523","Eritrea"
"525","Djibouti"
"526","Gabon"
"527","The Gambia"
"529","Ghana"
"531","Guinea"
"533","Cote d'Ivoire"
"535","Kenya"
"536","Lesotho"
"537","Liberia"
"538","Libya"
"540","Madeira Islands"
"541","Madagascar"
"542","Malawi"
"543","Mali"
"545","Mauritania"
"546","Mauritius"
"547","Mayotte"
"548","Morocco"
"550","Mozambique"
"554","Niger"
"555","Nigeria"
"559","Guinea-Bissau"
"562","South Africa"
"563","Reunion Island"
"565","Zimbabwe"
"566","Rwanda"
"567","Sao Tome and Principe"
"568","Rodrigues Islands"
"569","Senegal"
"570","Seychelles Islands"
"571","Sierra Leone"
"573","Somalia"
"575","Namibia"
"580","Saint Helena, Ascension, and Tristan da Cunha"
"582","Swaziland"
"583","Sudan"
"585","Tanzania"
"586","Togo"
"588","Tunisia"
"590","Uganda"
"591","Egypt"
"593","Burkina Faso"
"597","Zambia"
"599","Rhodesia"
"605","Bahrain"
"611","Cyprus"
"632","Iran"
"634","Iraq"
"636","Israel"
"639","Jordan"
"644","Kuwait"
"647","Lebanon"
"658","Oman"
"664","Qatar"
"667","People's Democratic Republic of Yemen"
"670","Saudi Arabia"
"676","Syria"
"678","United Arab Emirates"
"679","Turkey"
"694","Yemen"
"701","Afghanistan"
"702","Bhutan"
"703","Bangladesh"
"704","Brunei"
"705","Bonin Islands"
"706","Myanmar"
"707","British Indian Ocean Territory"
"709","Cambodia"
"711","Sri Lanka"
"713","China"
"729","Hong Kong"
"733","India"
"736","Japan"
"738","Kazakhstan"
"743","Kyrgyzstan"
"744","Laos"
"747","Macau"
"749","Malaysia"
"750","Maldives"
"751","Mongolia"
"755","Nepal"
"757","North Korea"
"759","North Vietnam"
"761","Okinawa/Ryukyu Islands"
"764","Pakistan"
"766","Philippines"
"770","Russia (Asian Part)"
"776","Singapore"
"778","South Korea"
"780","South Vietnam"
"781","Taiwan"
"782","Thailand"
"783","Tajikistan"
"785","Turkmenistan"
"786","U.S.S.R. (Asian Part)"
"788","Uzbekistan"
"791","Vietnam"
"800","American Samoa"
"801","Antarctica"
"802","Australia"
"803","Christmas Island"
"804","Papua New Guinea"
"809","Palau Islands"
"810","Federated States of Micronesia"
"812","Cocos (Keeling) Islands"
"813","Cook Islands"
"817","Tuvalu"
"821","Fiji Islands"
"823","French Polynesia"
"824","Kiribati"
"826","Guam"
"832","Indonesia"
"834","Johnston Island"
"840","Loyalty Islands"
"841","Northern Mariana Islands"
"842","Midway Islands"
"843","Marshall Islands"
"844","Marshall Islands"
"845","Nauru"
"846","New Caledonia"
"849","New Hebrides"
"851","New Zealand"
"852","Niue"
"853","Norfolk Island"
"854","Palau"
"861","East Timor"
"862","Timor-Leste"
"874","Solomon Islands"
"881","Tonga"
"885","Vanuatu"
"888","Wake Island"
"890","Wallis and Futuna Islands"
"892","Samoa"
"906","British Columbia"
"911","Yukon Territory"
"916","Alberta"
"921","Saskatchewan"
"926","Manitoba"
"931","Northwest Territories"
"934","Nunavut Territory"
"936","Ontario"
"941","Quebec"
"946","New Brunswick"
"951","Nova Scotia"
"956","Prince Edward Island"
"961","Newfoundland and Labrador"
"975","Greenland"
"977","Saint Pierre and Miquelon"
